date,quarter,house_id,house_type,sales_type,year_build,purchase_price,%_change_between_offer_and_purchase,no_rooms,sqm,sqm_price,address,zip_code,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%
2019-09-27,Q2,H100034,Villa,Resale,1967,331755,7.86,6,117,2835.51,750 Sample Street,20514,Aarhus,Urban,Syddanmark,3.4,3.83,1.43
2020-08-26,Q1,H100035,Apartment,New Sale,1970,749151,5.1,5,233,3215.24,801 Sample Street,57456,Aarhus,Rural,Nordjylland,2.0,2.72,1.75
2011-10-09,Q1,H100036,Apartment,Resale,1962,979454,1.12,6,45,21765.64,743 Sample Street,17233,Odense,Urban,Hovedstaden,3.9,1.74,2.11
2017-11-28,Q3,H100037,Townhouse,New Sale,1970,388384,8.28,4,180,2157.69,488 Sample Street,11102,Copenhagen,Urban,Midtjylland,3.42,2.61,1.82
2016-09-01,Q2,H100038,Apartment,Resale,1957,289719,-1.67,6,283,1023.74,530 Sample Street,76133,Odense,Suburban,Syddanmark,3.37,1.59,2.65
2011-08-24,Q1,H100039,Condo,Resale,1995,782763,5.72,7,217,3607.2,73 Sample Street,56715,Aalborg,Urban,Midtjylland,2.99,3.68,1.13
2016-06-21,Q2,H100040,Apartment,New Sale,1956,839177,8.22,9,61,13757.0,929 Sample Street,95193,Odense,Rural,Syddanmark,0.55,3.55,0.97
2015-08-24,Q1,H100041,Apartment,Resale,1972,891675,5.97,7,34,26225.74,928 Sample Street,16256,Copenhagen,Urban,Hovedstaden,3.63,2.45,0.72
2010-08-30,Q2,H100042,Condo,New Sale,1971,316010,5.46,6,198,1596.01,701 Sample Street,74800,Aarhus,Urban,Midtjylland,2.19,1.64,0.21
2015-08-04,Q2,H100043,Villa,New Sale,1971,737605,6.29,1,210,3512.4,950 Sample Street,51548,Aarhus,Rural,Hovedstaden,4.74,1.53,0.22
2017-09-25,Q3,H100044,Villa,Resale,1978,487940,1.98,2,207,2357.2,17 Sample Street,82090,Copenhagen,Suburban,Syddanmark,4.18,0.62,2.62
2017-02-25,Q4,H100045,Condo,New Sale,1962,965113,8.11,1,172,5611.12,531 Sample Street,88200,Aalborg,Suburban,Syddanmark,3.14,3.36,2.07
2013-09-25,Q3,H100046,Townhouse,New Sale,1951,645642,-1.95,9,277,2330.84,731 Sample Street,52367,Copenhagen,Rural,Syddanmark,1.63,2.08,2.02
2014-01-18,Q2,H100047,Apartment,New Sale,1978,101374,-3.09,9,156,649.83,326 Sample Street,99922,Aalborg,Rural,Syddanmark,1.42,1.64,1.88
2016-12-31,Q1,H100048,Condo,New Sale,2001,164397,-0.72,7,292,563.0,995 Sample Street,80382,Aarhus,Suburban,Nordjylland,2.03,2.15,2.56
2012-02-15,Q2,H100049,Apartment,New Sale,1976,298552,2.97,2,69,4326.84,632 Sample Street,36205,Aalborg,Urban,Syddanmark,2.64,3.37,1.49
2020-12-28,Q2,H100050,Townhouse,New Sale,1999,436721,2.66,6,284,1537.75,613 Sample Street,35570,Copenhagen,Rural,Midtjylland,1.83,0.94,2.62
2010-02-04,Q1,H100051,Apartment,New Sale,1972,473332,7.31,4,172,2751.93,546 Sample Street,40255,Copenhagen,Urban,Syddanmark,2.82,3.5,1.14
2018-08-19,Q1,H100052,Condo,New Sale,1993,917461,1.07,1,269,3410.64,596 Sample Street,31182,Copenhagen,Rural,Hovedstaden,1.24,3.64,2.79
2015-05-10,Q3,H100053,Apartment,Resale,1971,930006,2.27,1,257,3618.7,921 Sample Street,49373,Aalborg,Suburban,Nordjylland,4.9,3.81,2.13
2014-05-05,Q2,H100054,Villa,Resale,1992,987951,-4.8,5,227,4352.21,708 Sample Street,53019,Aalborg,Urban,Midtjylland,0.99,1.89,0.85
2020-10-18,Q4,H100055,Townhouse,New Sale,1986,342575,1.15,2,94,3644.41,842 Sample Street,72619,Aalborg,Urban,Nordjylland,4.69,1.26,1.74
2018-06-01,Q3,H100056,Townhouse,Resale,2010,461124,4.72,4,40,11528.1,202 Sample Street,26043,Aarhus,Rural,Nordjylland,4.61,1.81,1.65
2012-10-18,Q2,H100057,Townhouse,New Sale,2005,79336,-4.77,1,137,579.09,344 Sample Street,55532,Odense,Urban,Nordjylland,2.86,1.67,0.5
2019-06-24,Q3,H100058,Condo,New Sale,1952,877424,-0.79,4,55,15953.16,853 Sample Street,75936,Odense,Rural,Hovedstaden,3.76,1.12,1.81
2017-02-26,Q2,H100059,Townhouse,Resale,2012,105350,-1.88,6,180,585.28,523 Sample Street,29239,Copenhagen,Suburban,Nordjylland,2.46,2.63,1.01
2020-07-10,Q3,H100060,Villa,New Sale,1968,643849,-4.37,4,250,2575.4,859 Sample Street,20416,Aarhus,Urban,Nordjylland,3.34,2.17,0.25
2014-02-09,Q1,H100061,Condo,New Sale,1972,560470,2.19,1,266,2107.03,400 Sample Street,13412,Aalborg,Rural,Syddanmark,2.03,3.53,2.85
2023-02-20,Q4,H100062,Villa,New Sale,1978,888387,-2.27,7,266,3339.8,218 Sample Street,91976,Copenhagen,Urban,Hovedstaden,1.86,0.61,1.96
2010-06-11,Q4,H100063,Apartment,New Sale,1979,111240,6.15,2,248,448.55,445 Sample Street,34406,Aarhus,Rural,Midtjylland,3.1,2.75,2.64
2021-10-07,Q1,H100064,Apartment,Resale,1988,725453,7.72,9,180,4030.29,765 Sample Street,11875,Copenhagen,Rural,Midtjylland,2.74,3.17,2.06
2015-06-05,Q2,H100065,Apartment,New Sale,1974,449371,3.18,3,152,2956.39,222 Sample Street,47066,Aarhus,Rural,Midtjylland,3.11,3.16,1.14
2012-09-22,Q4,H100066,Apartment,New Sale,1957,620895,9.73,8,173,3588.99,383 Sample Street,15752,Aarhus,Suburban,Hovedstaden,1.79,3.6,1.59
2023-06-13,Q1,H100067,Villa,New Sale,2007,761028,1.76,8,218,3490.95,881 Sample Street,96753,Odense,Urban,Midtjylland,2.15,3.05,2.06
2019-02-25,Q4,H100068,Condo,Resale,1965,988467,2.7,3,284,3480.52,592 Sample Street,88025,Copenhagen,Suburban,Hovedstaden,0.88,3.75,2.88
2022-06-18,Q3,H100069,Condo,New Sale,2021,231196,9.84,4,97,2383.46,7 Sample Street,11353,Aalborg,Rural,Syddanmark,0.74,1.66,0.84
2020-05-26,Q4,H100070,Townhouse,Resale,1950,365014,-1.53,2,133,2744.47,272 Sample Street,36986,Odense,Rural,Syddanmark,1.64,2.26,2.64
2013-06-29,Q2,H100071,Villa,Resale,1954,499763,9.14,4,188,2658.31,739 Sample Street,96907,Odense,Suburban,Hovedstaden,0.83,0.55,2.78
2012-10-13,Q4,H100072,Apartment,New Sale,1952,638398,-4.36,9,119,5364.69,16 Sample Street,24691,Aalborg,Suburban,Midtjylland,0.97,0.52,2.04
2010-12-04,Q3,H100073,Villa,New Sale,2014,234626,1.7,2,285,823.25,424 Sample Street,79847,Aarhus,Urban,Hovedstaden,4.16,1.34,2.8
2012-05-28,Q1,H100074,Townhouse,Resale,1953,726296,-3.95,3,249,2916.85,524 Sample Street,58075,Aalborg,Rural,Hovedstaden,0.67,0.85,1.25
2012-12-12,Q4,H100075,Townhouse,New Sale,2013,429039,5.94,4,38,11290.5,803 Sample Street,20794,Copenhagen,Suburban,Nordjylland,3.47,1.41,2.86
2023-05-20,Q3,H100076,Villa,Resale,1959,578714,4.13,5,41,14114.98,753 Sample Street,78470,Aalborg,Rural,Hovedstaden,1.73,1.12,2.14
2020-12-07,Q2,H100077,Villa,Resale,1970,794199,5.6,1,273,2909.15,21 Sample Street,26406,Aarhus,Rural,Nordjylland,4.42,0.6,0.22
2023-04-22,Q4,H100078,Villa,New Sale,1995,864038,0.62,7,211,4094.97,690 Sample Street,85930,Aalborg,Urban,Syddanmark,2.68,3.68,2.73
2011-01-15,Q3,H100079,Condo,New Sale,1976,491048,0.54,7,128,3836.31,939 Sample Street,36872,Aarhus,Urban,Nordjylland,1.88,0.53,1.5
2011-05-08,Q1,H100080,Apartment,Resale,2015,602439,-4.32,9,226,2665.66,228 Sample Street,51708,Aarhus,Urban,Hovedstaden,2.83,3.08,1.43
2015-08-25,Q2,H100081,Villa,Resale,1990,323452,0.25,4,255,1268.44,785 Sample Street,30800,Copenhagen,Suburban,Syddanmark,2.22,1.03,1.74
2020-08-20,Q4,H100082,Villa,Resale,1962,290853,8.94,6,132,2203.43,288 Sample Street,53397,Aalborg,Rural,Nordjylland,3.04,3.69,0.53
2010-03-06,Q1,H100083,Villa,Resale,1958,828883,0.69,2,135,6139.87,809 Sample Street,47909,Aalborg,Suburban,Hovedstaden,1.02,3.62,1.46
2017-01-12,Q3,H100084,Townhouse,New Sale,1985,226743,7.47,4,87,2606.24,134 Sample Street,31352,Copenhagen,Suburban,Syddanmark,4.99,2.79,2.51
2015-07-21,Q2,H100085,Townhouse,New Sale,2007,140306,7.63,2,107,1311.27,984 Sample Street,25438,Aarhus,Urban,Nordjylland,2.42,2.85,0.14
2017-05-19,Q4,H100086,Condo,New Sale,2003,799468,0.6,5,104,7687.19,283 Sample Street,98921,Aalborg,Rural,Hovedstaden,2.07,0.52,0.89
2014-02-04,Q2,H100087,Apartment,New Sale,1961,943416,4.48,7,71,13287.55,404 Sample Street,54999,Copenhagen,Rural,Hovedstaden,3.7,3.95,0.11
2011-01-27,Q1,H100088,Condo,New Sale,1963,576492,-3.57,1,210,2745.2,665 Sample Street,28482,Aarhus,Urban,Midtjylland,2.14,3.57,1.31
2022-05-12,Q2,H100089,Apartment,Resale,1983,142769,-3.44,7,62,2302.73,66 Sample Street,42471,Copenhagen,Rural,Midtjylland,4.25,3.63,2.21
2022-04-02,Q3,H100090,Townhouse,New Sale,2002,137265,-4.27,6,100,1372.65,649 Sample Street,57279,Aalborg,Urban,Nordjylland,2.54,2.81,2.42
2019-10-02,Q4,H100091,Townhouse,New Sale,1969,867563,3.72,6,85,10206.62,604 Sample Street,64213,Copenhagen,Suburban,Nordjylland,3.74,1.71,2.84
2016-03-28,Q4,H100092,Townhouse,New Sale,1965,102428,1.39,8,134,764.39,437 Sample Street,23026,Odense,Suburban,Nordjylland,0.98,3.63,1.86
2018-06-27,Q4,H100093,Condo,New Sale,2019,608158,3.22,8,229,2655.71,829 Sample Street,95184,Aarhus,Urban,Hovedstaden,4.31,1.52,0.84
2010-07-20,Q1,H100094,Villa,New Sale,2005,677835,2.82,6,130,5214.12,934 Sample Street,15435,Odense,Suburban,Nordjylland,3.81,2.47,2.78
2023-05-08,Q2,H100095,Villa,Resale,2007,810278,0.25,3,285,2843.08,259 Sample Street,18493,Odense,Suburban,Hovedstaden,1.45,0.85,2.35
2018-07-02,Q4,H100096,Townhouse,Resale,1953,99067,5.16,5,103,961.82,980 Sample Street,82227,Aarhus,Urban,Nordjylland,1.15,3.73,1.77
2022-08-04,Q4,H100097,Villa,Resale,1953,812371,6.38,2,200,4061.86,966 Sample Street,69321,Aarhus,Suburban,Hovedstaden,1.92,0.99,2.12
2016-09-20,Q4,H100098,Villa,New Sale,1969,162217,-4.78,5,172,943.12,103 Sample Street,12763,Copenhagen,Rural,Hovedstaden,4.89,1.29,2.78
2019-12-25,Q1,H100099,Condo,Resale,1959,989111,-1.89,9,195,5072.36,993 Sample Street,30389,Aarhus,Suburban,Midtjylland,1.66,2.45,2.17
2012-03-15,Q3,H100100,Apartment,Resale,1973,468184,5.7,1,290,1614.43,567 Sample Street,41498,Odense,Urban,Syddanmark,2.55,3.17,1.17
2017-06-24,Q4,H100101,Townhouse,New Sale,1975,673222,0.8,5,250,2692.89,769 Sample Street,73755,Odense,Rural,Hovedstaden,0.64,2.67,2.17
2017-08-05,Q1,H100102,Townhouse,New Sale,1986,192980,4.94,6,112,1723.04,101 Sample Street,45825,Aalborg,Rural,Nordjylland,2.29,1.31,0.22
2014-04-20,Q4,H100103,Condo,New Sale,2003,993927,0.2,7,211,4710.55,198 Sample Street,26934,Aarhus,Suburban,Midtjylland,3.07,0.5,1.22
2017-05-14,Q4,H100104,Condo,Resale,1970,552367,0.86,9,39,14163.26,813 Sample Street,15574,Odense,Rural,Nordjylland,4.79,3.15,1.28
2020-07-07,Q3,H100105,Villa,Resale,1987,386851,-2.62,6,33,11722.76,226 Sample Street,48179,Aalborg,Urban,Nordjylland,2.83,3.95,0.58
2012-10-25,Q4,H100106,Townhouse,New Sale,1995,259329,-1.13,5,244,1062.82,943 Sample Street,11587,Aalborg,Rural,Hovedstaden,4.19,3.33,0.17
2011-05-18,Q1,H100107,Apartment,New Sale,1953,307354,4.08,7,127,2420.11,463 Sample Street,52782,Copenhagen,Suburban,Hovedstaden,2.96,2.11,0.49
2022-04-21,Q3,H100108,Condo,Resale,2009,573406,1.5,1,130,4410.82,237 Sample Street,64412,Odense,Suburban,Syddanmark,0.68,3.66,2.0
2012-05-20,Q4,H100109,Apartment,Resale,2006,111215,6.61,5,38,2926.71,26 Sample Street,70561,Copenhagen,Rural,Hovedstaden,1.92,1.93,2.43
2022-04-16,Q2,H100110,Apartment,New Sale,1994,761195,7.79,2,90,8457.72,121 Sample Street,87224,Odense,Urban,Hovedstaden,3.09,2.34,2.97
2010-07-26,Q4,H100111,Townhouse,New Sale,1969,361573,3.12,4,175,2066.13,910 Sample Street,14409,Copenhagen,Urban,Syddanmark,4.78,2.17,1.1
2014-01-24,Q2,H100112,Townhouse,Resale,1966,918584,6.37,7,92,9984.61,506 Sample Street,81319,Copenhagen,Suburban,Nordjylland,4.37,2.07,1.84
2012-05-13,Q4,H100113,Condo,New Sale,2020,682336,-0.4,5,150,4548.91,182 Sample Street,36751,Aarhus,Suburban,Syddanmark,1.53,3.21,2.82
2017-08-22,Q4,H100114,Townhouse,Resale,1953,219530,1.22,6,255,860.9,711 Sample Street,48174,Copenhagen,Urban,Syddanmark,1.49,2.34,0.58
2011-07-18,Q4,H100115,Townhouse,Resale,1963,227241,5.69,2,134,1695.83,814 Sample Street,66572,Aarhus,Rural,Syddanmark,1.41,1.61,2.18
2021-06-23,Q3,H100116,Townhouse,Resale,1952,188731,0.79,3,289,653.05,767 Sample Street,71416,Aalborg,Rural,Midtjylland,4.65,1.4,2.29
2014-10-24,Q4,H100117,Apartment,Resale,2007,503830,3.83,7,284,1774.05,634 Sample Street,22041,Odense,Rural,Nordjylland,4.34,0.63,0.36
2014-08-06,Q3,H100118,Condo,New Sale,2004,814265,-2.22,2,236,3450.28,543 Sample Street,33227,Aalborg,Rural,Midtjylland,3.99,2.54,2.6
2018-11-17,Q1,H100119,Villa,New Sale,1953,389384,4.0,6,57,6831.3,984 Sample Street,45201,Odense,Urban,Midtjylland,2.27,1.3,2.46
2022-09-11,Q4,H100120,Apartment,Resale,1973,476009,7.92,5,199,2392.01,315 Sample Street,46069,Aalborg,Suburban,Hovedstaden,2.77,1.02,0.2
2012-11-25,Q1,H100121,Townhouse,Resale,1983,163688,8.03,1,105,1558.93,991 Sample Street,92190,Odense,Suburban,Syddanmark,2.59,2.79,0.36
2014-09-19,Q4,H100122,Apartment,Resale,1979,358617,5.87,4,145,2473.22,797 Sample Street,36370,Copenhagen,Rural,Syddanmark,1.64,2.88,0.24
2019-01-28,Q3,H100123,Townhouse,Resale,1968,933194,6.19,2,98,9522.39,618 Sample Street,21586,Odense,Urban,Midtjylland,2.77,3.13,1.07
2018-08-24,Q4,H100124,Townhouse,Resale,1980,794748,3.37,4,263,3021.86,736 Sample Street,60231,Odense,Urban,Hovedstaden,0.64,2.26,1.58
2017-03-10,Q3,H100125,Apartment,New Sale,2009,540834,3.77,1,30,18027.8,273 Sample Street,15322,Aalborg,Rural,Hovedstaden,1.09,3.63,1.64
2017-06-22,Q2,H100126,Condo,New Sale,2009,943388,-3.0,2,196,4813.2,910 Sample Street,75294,Aalborg,Rural,Hovedstaden,4.49,3.78,0.88
2014-05-17,Q1,H100127,Townhouse,New Sale,1968,430596,1.66,8,247,1743.3,232 Sample Street,89468,Aalborg,Rural,Nordjylland,3.88,3.33,2.74
2018-05-19,Q1,H100128,Condo,New Sale,1998,761111,1.76,6,280,2718.25,420 Sample Street,39299,Aarhus,Suburban,Midtjylland,2.4,2.72,1.17
2017-05-17,Q2,H100129,Villa,Resale,2012,962743,9.38,2,203,4742.58,768 Sample Street,80793,Aarhus,Rural,Nordjylland,2.83,1.56,0.23
2023-05-24,Q2,H100130,Townhouse,Resale,1971,784275,1.47,6,199,3941.08,442 Sample Street,56501,Odense,Suburban,Hovedstaden,2.16,3.94,0.97
2019-12-07,Q3,H100131,Condo,Resale,1973,319150,3.24,9,275,1160.55,496 Sample Street,67134,Odense,Urban,Hovedstaden,3.83,1.46,1.64
2013-09-25,Q2,H100132,Condo,Resale,1979,299243,3.0,7,119,2514.65,24 Sample Street,19777,Copenhagen,Urban,Hovedstaden,4.03,1.21,1.28
2015-06-05,Q2,H100133,Villa,Resale,2007,648506,4.55,9,78,8314.18,109 Sample Street,21249,Copenhagen,Suburban,Syddanmark,3.93,2.05,0.89
2014-07-22,Q4,H100134,Condo,New Sale,1980,246416,6.22,5,179,1376.63,703 Sample Street,31390,Odense,Suburban,Midtjylland,3.75,0.7,0.48
2014-03-10,Q2,H100135,Condo,Resale,2013,606718,-1.62,7,161,3768.43,502 Sample Street,30369,Aarhus,Suburban,Syddanmark,1.42,3.92,2.48
2015-08-01,Q1,H100136,Villa,New Sale,1968,73091,2.93,7,88,830.58,859 Sample Street,22881,Odense,Suburban,Nordjylland,2.02,2.56,2.99
2019-01-16,Q4,H100137,Townhouse,New Sale,1997,831413,7.39,3,228,3646.55,25 Sample Street,19587,Copenhagen,Rural,Syddanmark,2.61,2.45,1.06
2016-02-16,Q4,H100138,Condo,New Sale,1994,598277,1.95,7,244,2451.95,187 Sample Street,84327,Aarhus,Urban,Midtjylland,1.99,2.8,1.21
2013-07-30,Q3,H100139,Condo,New Sale,2004,125451,-0.82,1,78,1608.35,288 Sample Street,97911,Aarhus,Rural,Syddanmark,3.9,2.24,1.89
2021-01-12,Q3,H100140,Condo,Resale,2004,68990,4.82,9,261,264.33,628 Sample Street,98147,Copenhagen,Suburban,Hovedstaden,1.98,0.61,2.18
2017-04-29,Q3,H100141,Apartment,New Sale,1967,402414,7.36,6,276,1458.02,338 Sample Street,17833,Odense,Rural,Nordjylland,1.12,2.64,1.24
2013-07-06,Q3,H100142,Villa,New Sale,2012,916792,-4.05,5,268,3420.87,878 Sample Street,57013,Aalborg,Rural,Nordjylland,2.3,3.01,2.72
2011-12-11,Q1,H100143,Apartment,New Sale,1996,300541,6.65,7,197,1525.59,914 Sample Street,73620,Odense,Urban,Hovedstaden,4.91,1.96,1.72
2022-12-28,Q4,H100144,Villa,Resale,2006,872513,7.32,5,77,11331.34,37 Sample Street,25754,Odense,Rural,Hovedstaden,1.52,3.15,1.41
2022-01-31,Q1,H100145,Townhouse,Resale,1994,716393,1.92,5,80,8954.91,794 Sample Street,88113,Copenhagen,Urban,Hovedstaden,3.25,1.29,1.98
2020-04-06,Q1,H100146,Townhouse,Resale,1982,420416,9.75,7,127,3310.36,137 Sample Street,96784,Aarhus,Suburban,Midtjylland,2.45,1.27,2.86
2023-02-01,Q1,H100147,Condo,New Sale,1966,852673,6.8,7,245,3480.3,508 Sample Street,45282,Copenhagen,Rural,Syddanmark,0.82,1.06,2.4
2011-10-26,Q3,H100148,Villa,New Sale,2019,174932,6.6,3,206,849.18,227 Sample Street,46737,Odense,Suburban,Nordjylland,2.7,1.8,0.22
2015-06-22,Q2,H100149,Townhouse,Resale,1953,318083,6.22,3,109,2918.19,320 Sample Street,34124,Aalborg,Urban,Syddanmark,3.66,3.46,1.06
2019-06-08,Q2,H100150,Villa,New Sale,1969,163000,-2.74,3,214,761.68,840 Sample Street,80102,Aalborg,Suburban,Hovedstaden,2.81,3.4,1.46
2020-04-01,Q1,H100151,Townhouse,Resale,1996,752922,-1.74,6,56,13445.04,916 Sample Street,12196,Aalborg,Suburban,Hovedstaden,4.42,1.84,1.01
2014-02-04,Q2,H100152,Apartment,Resale,1964,609351,1.96,6,224,2720.32,182 Sample Street,71527,Copenhagen,Urban,Syddanmark,1.8,2.56,2.13
2019-01-18,Q3,H100153,Townhouse,New Sale,2019,543216,-1.04,3,243,2235.46,874 Sample Street,95395,Aarhus,Suburban,Nordjylland,0.89,3.02,2.5
2020-04-21,Q2,H100154,Apartment,New Sale,1996,782081,1.23,3,143,5469.1,86 Sample Street,21345,Copenhagen,Suburban,Midtjylland,4.71,1.34,2.22
2015-01-28,Q4,H100155,Townhouse,New Sale,1958,732405,8.33,8,271,2702.6,467 Sample Street,44077,Aalborg,Suburban,Syddanmark,2.2,1.09,2.97
2022-10-04,Q3,H100156,Condo,New Sale,1965,559850,7.36,8,153,3659.15,926 Sample Street,76400,Odense,Rural,Hovedstaden,3.09,3.9,0.89
2013-07-15,Q3,H100157,Apartment,Resale,2018,487985,4.45,7,105,4647.48,53 Sample Street,22055,Aarhus,Suburban,Hovedstaden,4.06,2.66,2.64
2019-10-22,Q1,H100158,Townhouse,Resale,2010,883550,7.87,4,225,3926.89,860 Sample Street,95283,Copenhagen,Urban,Midtjylland,1.96,3.93,2.32
2019-06-20,Q2,H100159,Condo,Resale,1959,134703,6.76,4,73,1845.25,867 Sample Street,54484,Copenhagen,Rural,Syddanmark,3.72,1.68,1.15
2014-06-25,Q2,H100160,Apartment,Resale,1999,545164,1.43,3,215,2535.65,235 Sample Street,87514,Aarhus,Rural,Midtjylland,1.11,2.96,2.23
2020-02-14,Q4,H100161,Condo,Resale,1952,464841,-1.98,5,275,1690.33,959 Sample Street,45771,Aarhus,Urban,Midtjylland,1.81,1.28,0.4
2018-03-19,Q2,H100162,Villa,New Sale,2019,810084,2.71,3,113,7168.88,779 Sample Street,67654,Odense,Suburban,Nordjylland,1.15,1.41,2.39
2018-08-19,Q3,H100163,Villa,Resale,2000,702845,6.04,8,236,2978.16,799 Sample Street,56540,Aarhus,Rural,Nordjylland,4.15,2.29,1.64
